SMILES,ERRORS
O=C([C@@H](c1ccccc1)N)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)OC1OC(=O)c2c1cccc2)(C)C,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)c1cc(F)cc(c1)F,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)c1ccc(cc1)[N+](=O)[O-],SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CNc1ccc(cc1)Br,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4c(c3Cn1c2=O)CC)B(O)O,SUCCESS
CCOC(=O)c1cc(cn1COC)0C(=O)COc1ccc2c(c1)cc1c(n2)c2n(C1)c(=O)c1c(c2)C(O)(CC)C(=O)OC1,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc5c(c4cc3Cn1c2=O)CCC(O5)OCC(C)C,SUCCESS
CC[C@@]1(OC(=O)[C@@H](NC(=O)C2=CC(N(C2(C)C)O)(C)C)Cc2ccccc2)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4c(c3Cn1c2=O)CC)OC(=O)N1CCC(CC1)N1CCCCC1,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(c(c4cc3Cn1c2=O)CN(C)C)O.Cl,SUCCESS
OCCNCc1c2Cn3c(c2nc2c1cccc2)cc1c(c3=O)COC(=O)[C@]1(O)CC,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CC[Si](C)(C)C,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4cc3C(n1c2=O)N,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(c(c4cc3Cn1c2=O)CN(C)C)O,SUCCESS
CC[C@@]1(O)CC(=O)OCc2c1cc1c3nc4cc(Cl)c(cc4c(c3Cn1c2=O)CN1CCC(CC1)C)C,SUCCESS
CO[C@H]1[C@H](O)[C@H](O[C@H]([C@H]1O)C)Oc1ccc(cc1)NC(=S)N[C@H](C(=O)N[C@H](C(=O)O[C@]1(CC)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O)C(C)C)Cc1c[nH]cn1.Cl,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CNc1ccccc1,SUCCESS
CCCCc1c2ccccc2nc2c1Cn1c2cc2c(c1=O)CO[C@H]([C@]2(O)CC)OCCOCC,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4cc3[C@H](n1c2=O)N(C(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,SUCCESS
CCCNCc1c2ccccc2nc2c1Cn1c2cc2c(c1=O)COC(=O)[C@]2(O)CC,SUCCESS
O/N=C(\C(=O)NCCSSCCNC(=O)CCCCCO/N=C/c1c2Cn3c(c2nc2c1cccc2)cc1c(c3=O)COC(=O)[C@]1(O)CC)/Cc1ccc(c(c1)Br)O,SUCCESS
FCCO[C@@H]1OCc2c([C@@]1(O)CC)cc1n(c2=O)Cc2c1nc1ccccc1c2,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4cc5OCCOc5cc4c(c3Cn1c2=O)CN1CCN(CC1)C,SUCCESS
