Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA,SMILES
0,9,6,0,-0.308,5,0,3,26,8,3,3,3,3,3,383.151,156.137,0,110.18,C[C@H]([C@H]1C(=O)N2[C@@H]1[C@@H](C)C(=C2C(=O)O)S[C@@H]1CN[C@@H](C1)C(=O)N(C)C)O
0,9,6,1,0.024,4,0,5,25,8,3,4,2,2,2,365.105,147.915,1,132.96,O=C([C@@H](c1ccc(cc1)O)N)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
0,11,9,1,1.296,7,0,3,32,10,3,2,2,2,2,465.157,189.653,1,137.26,CCOC(=O)OC(OC(=O)[C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)NC(=O)[C@@H](c1ccccc1)N)C
0,9,7,0,2.412,5,0,0,30,8,3,0,3,3,3,439.214,182.27,0,88.51,O=C([C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)/N=C/N1CCCCCC1)OCOC(=O)C(C)(C)C
0,15,12,0,-0.944,7,2,2,28,12,4,2,2,2,4,440.014,169.303,2,156.09,O=C(N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nncs1)Cn1cnnn1
0,17,13,0,-1.84,11,1,5,33,14,3,4,2,2,3,519.066,199.555,1,202.86,CO[C@@]1(NC(=O)CSC[C@H](C(=O)O)N)C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C
1,9,6,0,-0.067,5,0,4,25,8,3,3,3,2,2,365.105,148.292,0,121.96,COC1=C(C(=O)O)N2[C@H](SC1)[C@@H](C2=O)NC(=O)[C@@H](C1=CCC=CC1)N
0,13,9,0,-0.536,7,1,4,29,12,3,3,2,2,3,424.069,167.193,1,173.76,CO/N=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)COC(=O)N)/c1ccco1
1,13,10,0,-1.044,7,2,3,35,11,5,2,3,2,4,514.109,208.195,2,153.92,CO/N=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)[O-])C[n+]1cccc2c1CCC2)/c1csc(n1)N
0,16,13,0,-1.19,7,2,4,32,14,4,3,2,2,4,479.079,188.024,2,190.81,CO/N=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)Cn1nnc(n1)C)/c1csc(n1)N
0,15,12,0,-0.636,7,2,2,29,12,4,2,2,2,4,454.03,175.668,2,156.09,O=C(N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnc(s1)C)Cn1cnnn1
0,15,8,1,-0.234,6,0,3,36,13,4,3,3,3,3,539.114,210.753,1,173.5,O=C([C@@H](c1ccccc1)NC(=O)N1CCN(C1=O)S(=O)(=O)C)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
0,16,12,1,-1.128,9,1,4,36,15,4,4,2,2,3,520.101,206.204,2,206.3,CO[C@@]1(NC(=O)C(c2ccc(cc2)O)C(=O)O)C(=O)N2[C@@H]1OCC(=C2C(=O)O)CSc1nnnn1C
0,11,10,0,1.666,6,0,1,33,9,4,1,4,4,4,497.165,201.857,0,108.74,C[C@H]([C@H]1C(=O)N2[C@@H]1[C@@H](C)C(=C2C(=O)OCOC(=O)C(C)(C)C)SC1CN(C1)C1=NCCS1)O
0,8,5,1,1.411,3,0,2,27,7,4,2,3,3,3,389.141,161.63,1,89.95,OC(=O)[C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)N1C(=O)[C@H](NC1(C)C)c1ccccc1
0,7,5,0,0.374,3,0,2,19,6,3,2,3,3,3,285.067,113.955,0,87.07,C[C@H]([C@H]1C(=O)N2[C@@H]1SC(=C2C(=O)O)[C@H]1CCCO1)O
0,4,3,2,3.159,2,0,0,20,4,3,0,1,1,1,267.09,116.139,2,46.61,O=C(N1C(=O)CC1c1ccccc1)Oc1ccccc1
0,14,11,0,1.293,7,2,4,33,11,4,3,2,2,4,506.05,199.576,2,160.1,CO/N=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)/C=C\c1scnc1C)/c1csc(n1)N
0,10,8,2,1.646,5,0,3,34,9,5,2,3,3,3,481.131,199.496,2,128.03,O=C([C@@H](c1ccccc1)N)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)OC1OC(=O)c2c1cccc2)(C)C
0,13,9,2,2.864,5,2,1,44,10,7,1,3,3,5,622.17,250.716,4,122.04,CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)c1cc(F)cc(c1)F
0,14,11,2,2.494,6,2,1,45,13,7,1,3,3,5,631.174,257.038,4,165.18,CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)c1ccc(cc1)[N+](=O)[O-]
0,8,7,2,4.454,4,2,2,35,7,6,2,2,2,4,531.079,209.068,4,93.45,CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CNc1ccc(cc1)Br
0,9,8,1,0.322,3,2,3,31,8,5,3,2,2,4,420.149,177.439,3,121.88,CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4c(c3Cn1c2=O)CC)B(O)O
0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.368,0,0.0,CCOC(=O)c1cc(cn1COC)0C(=O)COc1ccc2c(c1)cc1c(n2)c2n(C1)c(=O)c1c(c2)C(O)(CC)C(=O)OC1
0,8,8,1,3.403,4,2,1,35,8,6,1,3,3,5,476.195,202.004,3,99.88,CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc5c(c4cc3Cn1c2=O)CCC(O5)OCC(C)C
0,11,10,2,4.546,7,2,2,49,11,7,2,3,3,5,662.274,282.67,4,140.06,CC[C@@]1(OC(=O)[C@@H](NC(=O)C2=CC(N(C2(C)C)O)(C)C)Cc2ccccc2)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O
